Time [ms], Elem0, Elem1, Elem2, Elem3, Elem4, Elem5, Elem6, Elem7, Elem8, Elem9, Elem10, Elem11
9266, 248, 252, 688, 255, 251, 251, 0, 0, 0, 0, 0, 0
9289, 250, 252, 633, 255, 252, 252, 0, 0, 0, 0, 0, 0
9313, 248, 252, 576, 255, 251, 252, 0, 0, 0, 0, 0, 0
9336, 249, 252, 511, 254, 252, 252, 0, 0, 0, 0, 0, 0
9360, 251, 252, 461, 255, 252, 251, 0, 0, 0, 0, 0, 0
9384, 250, 252, 425, 255, 252, 253, 0, 0, 0, 0, 0, 0
9408, 253, 252, 395, 256, 251, 252, 0, 0, 0, 0, 0, 0
9433, 253, 252, 367, 255, 252, 252, 0, 0, 0, 0, 0, 0
9455, 250, 252, 343, 256, 252, 252, 0, 0, 0, 0, 0, 0
9479, 253, 252, 328, 255, 252, 253, 0, 0, 0, 0, 0, 0
9504, 252, 252, 309, 256, 252, 253, 0, 0, 0, 0, 0, 0
9529, 252, 252, 306, 256, 252, 253, 0, 0, 0, 0, 0, 0
9551, 251, 252, 306, 256, 252, 253, 0, 0, 0, 0, 0, 0
9575, 252, 252, 305, 255, 252, 253, 0, 0, 0, 0, 0, 0
9599, 251, 252, 323, 256, 252, 253, 0, 0, 0, 0, 0, 0
9623, 252, 252, 352, 255, 252, 251, 0, 0, 0, 0, 0, 0
9646, 252, 252, 404, 256, 252, 253, 0, 0, 0, 0, 0, 0
9670, 248, 252, 479, 256, 252, 252, 0, 0, 0, 0, 0, 0
9694, 250, 252, 565, 255, 252, 252, 0, 0, 0, 0, 0, 0
9718, 249, 252, 625, 256, 251, 251, 0, 0, 0, 0, 0, 0
9741, 249, 252, 691, 255, 252, 252, 0, 0, 0, 0, 0, 0
9765, 250, 252, 741, 255, 251, 252, 0, 0, 0, 0, 0, 0
9789, 252, 252, 791, 255, 252, 252, 0, 0, 0, 0, 0, 0
9813, 253, 252, 824, 255, 251, 252, 0, 0, 0, 0, 0, 0
9836, 252, 252, 856, 256, 252, 252, 0, 0, 0, 0, 0, 0
9861, 253, 252, 872, 255, 251, 252, 0, 0, 0, 0, 0, 0
9884, 253, 253, 882, 256, 252, 253, 0, 0, 0, 0, 0, 0
9908, 254, 252, 881, 255, 252, 252, 0, 0, 0, 0, 0, 0
9931, 253, 252, 857, 256, 252, 252, 0, 0, 0, 0, 0, 0
9955, 250, 252, 821, 256, 252, 252, 0, 0, 0, 0, 0, 0
9979, 0, 0, -112, 1, 0, 1, 0, 0, 0, 0, 0, 0
10003, -3, 0, -177, 1, -1, 0, 0, 0, 0, 0, 0, 0
10028, 1, 0, -250, 1, 0, 1, 0, 0, 0, 0, 0, 0
10050, 0, 0, -310, 1, 0, 0, 0, 0, 0, 0, 0, 0
10074, -1, 0, -383, -1, 0, -1, 0, 0, 0, 0, 0, 0
10098, 1, 0, -441, 0, 0, 0, 0, 0, 0, 0, 0, 0
10124, 0, 0, -490, 1, 0, 1, 0, 0, 0, 0, 0, 0
10146, -2, 0, -522, 1, 0, -2, 0, 0, 0, 0, 0, 0
10170, 0, 0, -544, 0, 0, 1, 0, 0, 0, 0, 0, 0
10194, -2, 0, -566, 1, 0, 0, 0, 0, 0, 0, 0, 0
10218, -2, 0, -569, 1, 0, 0, 0, 0, 0, 0, 0, 0
10241, -1, 0, -582, 0, 0, 0, 0, 0, 0, 0, 0, 0
10265, -1, 0, -583, 0, 0, -1, 0, 0, 0, 0, 0, 0
10289, 0, 0, -568, 1, 0, 0, 0, 0, 0, 0, 0, 0
10313, 1, 0, -539, 1, 0, 0, 0, 0, 0, 0, 0, 0
10336, 1, 0, -494, 1, 0, 1, 0, 0, 0, 0, 0, 0
10360, 2, 0, -428, 1, 0, 1, 0, 0, 0, 0, 0, 0
10384, 1, 0, -355, 0, 0, 0, 0, 0, 0, 0, 0, 0
10408, 0, 0, -263, 1, 0, 0, 0, 0, 0, 0, 0, 0
10431, 1, 0, -188, 1, 0, -1, 0, 0, 0, 0, 0, 0
10456, 0, 0, -124, 1, 0, -1, 0, 0, 0, 0, 0, 0
10479, 1, 0, -75, 1, -1, 0, 0, 0, 0, 0, 0, 0
10503, 3, 0, -28, 1, 0, 0, 0, 0, 0, 0, 0, 0
10526, 2, 0, 2, 1, -1, 1, 0, 0, 0, 0, 0, 0
10550, 4, 0, 31, 1, 0, 2, 0, 0, 0, 0, 0, 0
10574, 0, 0, 50, 0, 0, 1, 0, 0, 0, 0, 0, 0
10599, 3, 0, 60, 1, 0, 1, 0, 0, 0, 0, 0, 0
10623, 1, 0, 74, 1, -1, 0, 0, 0, 0, 0, 0, 0
10645, 0, 0, 61, 1, 0, 1, 0, 0, 0, 0, 0, 0
10669, 0, 0, 39, 1, -1, -1, 0, 0, 0, 0, 0, 0
10693, -2, 0, -14, 1, 0, 1, 0, 0, 0, 0, 0, 0
10719, -1, 0, -71, 1, -1, 0, 0, 0, 0, 0, 0, 0
10741, 2, 0, -149, 1, 0, 1, 0, 0, 0, 0, 0, 0
10764, 1, 0, -216, 1, 0, 0, 0, 0, 0, 0, 0, 0
10789, 2, 0, -296, 1, 0, 0, 0, 0, 0, 0, 0, 0
10811, 0, 0, -359, 1, -1, 0, 0, 0, 0, 0, 0, 0
10836, -1, 0, -427, 1, 0, 0, 0, 0, 0, 0, 0, 0
10860, 0, 0, -474, 1, -1, 0, 0, 0, 0, 0, 0, 0
10884, 0, 0, -512, 1, 0, 0, 0, 0, 0, 0, 0, 0
10908, 1, 0, -530, 1, 0, -1, 0, 0, 0, 0, 0, 0
10931, 2, 0, -544, 1, 0, 1, 0, 0, 0, 0, 0, 0
10955, 2, 0, -563, 1, -1, 1, 0, 0, 0, 0, 0, 0
10979, 2, 0, -568, 1, 0, 1, 0, 0, 0, 0, 0, 0
11003, 2, 0, -567, 1, 0, 1, 0, 0, 0, 0, 0, 0
11026, 2, 0, -567, 0, 0, 0, 0, 0, 0, 0, 0, 0
11051, 3, 0, -547, 1, 0, 2, 0, 0, 0, 0, 0, 0
11074, 0, 0, -518, 1, -1, -1, 0, 0, 0, 0, 0, 0
11098, 4, 0, -461, 1, 0, 0, 0, 0, 0, 0, 0, 0
11121, 2, 0, -391, 1, 0, 1, 0, 0, 0, 0, 0, 0
11145, 0, 0, -335, 0, -1, 0, 0, 0, 0, 0, 0, 0
11171, 3, 0, -270, 0, 0, 1, 0, 0, 0, 0, 0, 0
11193, 1, 0, -207, 1, -1, 0, 0, 0, 0, 0, 0, 0
11216, 2, 0, -151, 1, 0, 0, 0, 0, 0, 0, 0, 0
11240, 2, 0, -114, 1, -1, -1, 0, 0, 0, 0, 0, 0
11268, 3, 0, -71, 1, 0, 1, 0, 0, 0, 0, 0, 0
11288, 3, 0, -44, 1, 0, 1, 0, 0, 0, 0, 0, 0
11311, 3, 0, -17, 1, 0, 2, 0, 0, 0, 0, 0, 0
11335, 5, 0, 6, 1, 0, 1, 0, 0, 0, 0, 0, 0
11359, 4, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0
11384, 3, 0, 32, 1, -1, 0, 0, 0, 0, 0, 0, 0
11406, 1, 0, 33, 1, 0, 1, 0, 0, 0, 0, 0, 0
11430, 3, 0, 19, 1, 0, 1, 0, 0, 0, 0, 0, 0
11455, 1, 0, -21, 1, 0, 0, 0, 0, 0, 0, 0, 0
11478, 2, 0, -79, 0, 0, 0, 0, 0, 0, 0, 0, 0
11503, 3, 0, -162, 1, 0, 1, 0, 0, 0, 0, 0, 0
11525, 2, 0, -231, 1, 0, -1, 0, 0, 0, 0, 0, 0
11550, 3, 0, -304, 1, 0, 1, 0, 0, 0, 0, 0, 0
11574, 4, 0, -364, 1, 0, 1, 0, 0, 0, 0, 0, 0
11598, 4, 0, -408, 1, 0, 1, 0, 0, 0, 0, 0, 0
11621, 3, 0, -444, 1, 0, 1, 0, 0, 0, 0, 0, 0
11646, 7, 0, -467, 1, 0, 1, 0, 0, 0, 0, 0, 0
11669, 5, 0, -495, 1, 0, 1, 0, 0, 0, 0, 0, 0
11693, 4, 0, -514, 1, 0, 1, 0, 0, 0, 0, 0, 0
11716, 5, 0, -525, 1, 0, 2, 0, 0, 0, 0, 0, 0
11740, 1, 0, -543, 1, 0, 1, 0, 0, 0, 0, 0, 0
11764, 4, 0, -543, 0, 0, 0, 0, 0, 0, 0, 0, 0
11788, 2, 0, -534, 1, 0, 0, 0, 0, 0, 0, 0, 0
